no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
91,Phú Đô Badminton,"Nguyễn Văn Giáp, Từ Liêm, Hà Nội",00:00 - 24:00,,,Hà Nội,,Phường Từ Liêm,ChIJkeau5WpVNDER0cq8IOAw_vs
92,TN COMA5 Tây Mỗ,"Coma 5-70 Đ. Tây Mỗ, Tây Mỗ, Nam Từ Liêm, Hà Nội",00:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJJ7_TcwBVNDEROtqLT2l39eE
93,HP Sport Tây Mỗ,"113 P. Miêu Nha, Tây Mỗ, Nam Từ Liêm, HN",00:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJ1-pOQQBVNDER3V2OE97UUnM
94,Chùa Láng,"159 Chùa Láng, Phường Láng, Hà Nội",06:00 - 23:30,,,Hà Nội,,Phường Láng,ChIJtyMLBdirNTER8DP3F4XMPW4
95,1009 Phúc Diễn,"1009 Phúc Diễn, Tây Mỗ, Nam Từ Liêm, Hà Nội",00:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJZ1wRfABVNDER7eV5D9iq5B0
96,Mỹ Đình,"Mỹ Đình 1, Nam Từ Liêm, Hà Nội",05:00 - 22:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJE4mOOABVNDER4dAB4yKzbIg
97,Sân Trường PTTH Mỹ Đình,"89 Đ. Mỹ Đình, Từ Liêm, Hà Nội, Việt Nam",05:00 - 22:00,,,Hà Nội,,Phường Từ Liêm,
98,Trường THCS Giảng Võ 2,"105, Ngõ 12 Núi Trúc, Giảng Võ, Hà Nội",05:30 - 23:00,,Quận Ba Đình,Hà Nội,,,ChIJ85NtKACrNTERyYqkovUC75o
99,An Khánh Badminton,"Ô A3.1 khu nhà kho, xưởng lô An Khánh, Thôn 1 xã Lại Yên",05:00 - 24:00,,,Hà Nội,,,ChIJmYT1yfFTNDERbRkrDrNqtZ0
100,Hùng Hải Sport - Trường THCS Nguyễn Bỉnh Khiêm,"Trường THCS Nguyễn Bỉnh Khiêm, Tổ 37 phường Phúc Lợi",05:00 - 24:00,,,Hà Nội,,,
101,Us C1 Mỹ Đình 2,"Trường Tiểu Học Mỹ Đình 2, Phú Mỹ, Từ Liêm, Hà Nội",08:00 - 21:30,,,Hà Nội,,Phường Từ Liêm,ChIJr5DaLrBUNDERxQ2-iSF-y2A
102,460 Phúc Diễn,"Số 460 Phúc Diễn, Xuân Phương, Hà Nội",05:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJA3n2pVBVNDERCDsi3oB8aHM
103,1998 Badminton,"304 P. Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm",05:30 - 23:30,,Quận Nam Từ Liêm,Hà Nội,,,ChIJB8hdyCBVNDERai8eVGaf1Is
104,402 Phúc Diễn,"402 Phúc Diễn, Nam Từ Liêm, Hà Nội",05:00 - 24:00,,Quận Nam Từ Liêm,Hà Nội,,,ChIJTYznmzBVNDER9JQ33wxIxrc
